smiles,true_pic50,pred_pic50,abs_error,residual
O=C1NC(=O)/C(=C/c2cccc(Br)c2)S1,4.3467875,6.5490737,2.2022862,2.2022862
O=C1NC(=O)/C(=C/c2ccc(Br)cc2)S1,4.552842,6.4732833,1.9204412,1.9204412
O=C1NCCN(CCC2CCC(O)(C(=O)O)CC2)c2c1oc1ccc(C(F)(F)F)cc21,8.2620125,10.018197,1.7561846,1.7561846
O=C1NCCN(CC[C@H]2CC[C@](O)(C(F)(F)F)CC2)c2c1oc1ccc(C(F)(F)F)cc21,8.389339,9.954648,1.5653086,1.5653086
O=C1NC(=O)/C(=C/c2ccc(F)cc2)S1,7.8860564,6.3558135,1.5302429,-1.5302429
CC1(C(=O)O)CCC(CCN2CCNC(=O)c3oc4ccc(C(F)(F)F)cc4c32)CC1,8.288193,9.697534,1.4093409,1.4093409
CC(=O)c1ccc(F)c(-c2c[nH]c3ccc(-c4cncc(NCCN(C)C)n4)cc23)c1,8.522879,7.1226068,1.4002719,-1.4002719
CN(C)c1ccc(/C=C2\SC(=O)NC2=O)cc1,5.221849,6.6025944,1.3807454,1.3807454
COC(=O)c1ccc(/C=C2\SC(=O)NC2=O)cc1,5.0,6.301826,1.301826,1.301826
CCOc1cncc(-c2ccc3[nH]cc(-c4ccccc4)c3c2)n1,5.0,6.2250757,1.2250757,1.2250757
COc1cccc(-c2c[nH]c3ccc(-c4cncc(NCCN(C)C)n4)cc23)c1,8.1549015,6.9438386,1.2110629,-1.2110629
COC[C@]1(OC)CC[C@@H](CCN2CCN(C)C(=O)c3oc4ccc(C(F)(F)F)cc4c32)CC1,7.879426,9.036048,1.1566219,1.1566219
COc1ccc(-c2c[nH]c3ccc(-c4cncc(NCCN(C)C)n4)cc23)cc1,8.045757,6.9351797,1.1105776,-1.1105776
FC(F)(F)Oc1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3cnccc23)c(Cl)c1,7.3467875,8.408175,1.061388,1.061388
O=C1NC(=O)/C(=C/c2ccc(Cl)cc2)S1,7.39794,6.3519955,1.0459447,-1.0459447
COc1ccc(/C=C2\SC(=O)NC2=O)cc1,5.29243,6.310888,1.0184579,1.0184579
O=C1NCCN(CC(F)(F)C2CCC(CO)CC2)c2c1oc1ccc(C(F)(F)F)cc21,10.823909,9.834769,0.98913956,-0.98913956
CC(C)c1ccc(/C=C2\SC(=O)NC2=O)cc1,7.39794,6.4145017,0.9834385,-0.9834385
O=C1NCCN(CCC2CCC(O)(CF)CC2)c2c1oc1ccc(C(F)(F)F)cc21,9.096368,10.059686,0.9633179,0.9633179
CCSC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1,6.468521,5.520337,0.948184,-0.948184
