smiles,true_pic50,pred_pic50,abs_error,residual
O=C1NC(=O)/C(=C/c2cccc(Br)c2)S1,4.3467875,8.118769,3.7719812,3.7719812
O=C1NC(=O)/C(=C/c2ccc(Br)cc2)S1,4.552842,8.054866,3.5020237,3.5020237
CN(C)c1ccc(/C=C2\SC(=O)NC2=O)cc1,5.221849,8.525171,3.3033223,3.3033223
COC(=O)c1ccc(/C=C2\SC(=O)NC2=O)cc1,5.0,7.5769997,2.5769997,2.5769997
O=C1NC(=O)/C(=C/c2ccccc2)S1,6.05061,8.362541,2.3119311,2.3119311
CCOc1cncc(-c2ccc3[nH]cc(-c4ccccc4)c3c2)n1,5.0,7.245562,2.245562,2.245562
COc1ccc(/C=C2\SC(=O)NC2=O)cc1,5.29243,7.534947,2.242517,2.242517
O=C1NCCN(CCC2CCCCC2)c2c1oc1ccc(C(F)(F)F)cc21,7.958607,9.805611,1.8470035,1.8470035
O=C1NCCN(CC[C@H]2CC[C@](O)(CO)CC2)c2c1oc1ccc(C(F)(F)F)cc21,11.045757,9.317041,1.7287159,-1.7287159
CCc1ccc(/C=C2\SC(=O)NC2=O)cc1,6.221849,7.8088703,1.5870214,1.5870214
OCCc1cncc(-c2ccc3[nH]cc(-c4ccccc4F)c3c2)n1,6.0530567,7.6048017,1.5517449,1.5517449
O=C1NCCN(CC[C@H]2CC[C@](O)(C(F)(F)F)CC2)c2c1oc1ccc(C(F)(F)F)cc21,8.389339,9.916567,1.5272274,1.5272274
O=C1NC(=O)/C(=C/c2cccc(Cl)c2)S1,6.221849,7.587122,1.365273,1.365273
CN1CCN(CC[C@H]2CC[C@](O)(CO)CC2)c2c(oc3ccc(C(F)(F)F)cc23)C1=O,9.382999,8.0743265,1.3086729,-1.3086729
CN(C)Cc1ccc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2C(CCOC(=O)C(F)(F)F)CNC3=O)cc1,8.39794,7.1059203,1.2920194,-1.2920194
COc1cccc(/C=C2\SC(=O)NC2=O)c1,6.1870866,7.410958,1.2238712,1.2238712
O=C1NC(=O)/C(=C/c2ccc(OC(F)(F)F)cc2)S1,6.5228786,7.720524,1.1976452,1.1976452
O=C1NCCN(CCC2CCC(OC(F)F)CC2)c2c1oc1ccc(C(F)(F)F)cc21,8.158015,9.297749,1.1397333,1.1397333
O=C1NC(=O)/C(=C/c2ccc(C(F)(F)F)cc2)S1,6.481486,7.617165,1.1356792,1.1356792
O=C1NCCN(CCC2CCC(CO)(CO)CC2)c2c1oc1ccc(C(F)(F)F)cc21,10.638272,9.512688,1.1255846,-1.1255846
