smiles,true_pic50,pred_pic50,abs_error,residual
O=C1NC(=O)/C(=C/c2cccc(Br)c2)S1,4.3467875,6.5986595,2.251872,2.251872
O=C1NC(=O)/C(=C/c2ccc(Br)cc2)S1,4.552842,6.3909297,1.8380876,1.8380876
O=C1NCCN(CCC2CCC(O)(C(=O)O)CC2)c2c1oc1ccc(C(F)(F)F)cc21,8.2620125,9.8321495,1.570137,1.570137
O=C1NCCN(CC[C@H]2CC[C@](O)(C(F)(F)F)CC2)c2c1oc1ccc(C(F)(F)F)cc21,8.389339,9.94068,1.5513401,1.5513401
O=C1NC(=O)/C(=C/c2ccc(F)cc2)S1,7.8860564,6.378478,1.5075784,-1.5075784
CC(=O)c1ccc(F)c(-c2c[nH]c3ccc(-c4cncc(NCCN(C)C)n4)cc23)c1,8.522879,7.164881,1.3579974,-1.3579974
COC[C@]1(OC)CC[C@@H](CCN2CCN(C)C(=O)c3oc4ccc(C(F)(F)F)cc4c32)CC1,7.879426,9.170582,1.2911558,1.2911558
CN(C)c1ccc(/C=C2\SC(=O)NC2=O)cc1,5.221849,6.4565635,1.2347145,1.2347145
COC(=O)c1ccc(/C=C2\SC(=O)NC2=O)cc1,5.0,6.175657,1.1756568,1.1756568
CC(C)c1ccc(/C=C2\SC(=O)NC2=O)cc1,7.39794,6.2685575,1.1293826,-1.1293826
CCOc1cncc(-c2ccc3[nH]cc(-c4ccccc4)c3c2)n1,5.0,6.0706873,1.0706873,1.0706873
CC1(C(=O)O)CCC(CCN2CCNC(=O)c3oc4ccc(C(F)(F)F)cc4c32)CC1,8.288193,9.357979,1.0697861,1.0697861
O=C1NC(=O)/C(=C/c2ccc(Cl)cc2)S1,7.39794,6.345861,1.0520792,-1.0520792
COc1ccc(/C=C2\SC(=O)NC2=O)cc1,5.29243,6.308184,1.0157542,1.0157542
Fc1cccc(F)c1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,8.69897,7.691423,1.0075469,-1.0075469
O=C1NCCN(CCC2CCC(OC(F)F)CC2)c2c1oc1ccc(C(F)(F)F)cc21,8.158015,9.134813,0.97679806,0.97679806
O=C1NCCN(CC(F)(F)C2CCC(CO)CC2)c2c1oc1ccc(C(F)(F)F)cc21,10.823909,9.857704,0.96620464,-0.96620464
COCC1(O)CCC(CCN2CCNC(=O)c3oc4ccc(C(F)(F)F)cc4c32)CC1,8.987163,9.9532385,0.9660759,0.9660759
CCSC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1,6.468521,5.518453,0.950068,-0.950068
COc1cccc(-c2c[nH]c3ccc(-c4cncc(NCCN(C)C)n4)cc23)c1,8.1549015,7.229507,0.92539454,-0.92539454
