smiles,true_pic50,pred_pic50,abs_error,residual
O=C1NC(=O)/C(=C/c2cccc(Br)c2)S1,4.3467875,6.8870373,2.5402498,2.5402498
O=C1NC(=O)/C(=C/c2ccc(Br)cc2)S1,4.552842,6.97414,2.421298,2.421298
CS(=O)(=O)c1ccc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2[C@@H](CCNC(=N)N)CNC3=O)cc1,8.09691,6.0500436,2.046867,-2.046867
Cc1cccc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2[C@@H](CCNC(=N)N)CNC3=O)c1,8.09691,6.097,1.9999104,-1.9999104
O=C1NCCN(CC[C@H]2CC[C@](O)(CO)CC2)c2c1oc1ccc(C(F)(F)F)cc21,11.045757,9.101234,1.9445229,-1.9445229
CN(C)C(=O)c1ccc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2C(CCO)CNC3=O)cc1,7.8860564,6.00478,1.8812766,-1.8812766
CCOc1cncc(-c2ccc3[nH]cc(-c4ccccc4)c3c2)n1,5.0,6.8317,1.8316998,1.8316998
CS(=O)(=O)c1ccc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2[C@@H](CCN)CNC3=O)cc1,9.0,7.256547,1.743453,-1.743453
CN(C)CCNC(=O)c1ccc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2C(CCO)CNC3=O)cc1,8.2218485,6.5004635,1.721385,-1.721385
CN(C)Cc1ccc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2C(CCOC(=O)C(F)(F)F)CNC3=O)cc1,8.39794,6.6880093,1.7099304,-1.7099304
NCC[C@H]1CNC(=O)c2cc(-c3cccc(OC(F)(F)F)c3)c(-c3ccc(S(N)(=O)=O)cc3)n21,9.0,7.317271,1.6827288,-1.6827288
O=C1NCCN(CC(F)(F)C2CCC(O)(CO)CC2)c2c1oc1ccc(C(F)(F)F)cc21,11.2218485,9.648757,1.5730915,-1.5730915
CS(=O)(=O)NCC[C@H]1CNC(=O)c2cc(-c3cccc(OC(F)(F)F)c3)c(-c3ccccc3)n21,7.5850267,6.032222,1.552805,-1.552805
O=C1NCCN(CCC2CCC(CO)(CO)CC2)c2c1oc1ccc(C(F)(F)F)cc21,10.638272,9.136191,1.5020809,-1.5020809
COc1c(C)cc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2[C@@H](CCN)CNC3=O)cc1C,8.09691,6.6341743,1.4627361,-1.4627361
CN(C)CCNc1cncc(-c2ccc3[nH]cc(-c4ccc(S(N)(=O)=O)cc4)c3c2)n1,8.045757,6.6522675,1.3934898,-1.3934898
O=C1NCC(CCO)n2c1cc(-c1cccc(OC(F)(F)F)c1)c2-c1ccc(CO)cc1,7.958607,6.567521,1.3910861,-1.3910861
CNC(=O)c1ccc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2C(CCO)CNC3=O)cc1,7.69897,6.3204813,1.3784885,-1.3784885
CN(C)c1ccc(/C=C2\SC(=O)NC2=O)cc1,5.221849,6.5600348,1.3381858,1.3381858
NC(=O)c1ccc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2C(CCO)CNC3=O)cc1,8.1549015,6.839556,1.3153453,-1.3153453
